domain,registered_date,registered_year,expire,changed,registrar,org,city,country,nameservers
1x10delbuengobierno.gob.ve,,,,,,Comision Nacional De Telecomunicaciones Conatel,1020,VE,"dahlia.ns.cloudflare.com, nile.ns.cloudflare.com"
abae.gob.ve,,,,,,,Caracas,VE,"ns1.abae.gob.ve, ns2.abae.gob.ve"
acav.gob.ve,,,,,,,5224,VE,"ns1.mppct.gob.ve, ns2.mppct.gob.ve"
agn.gob.ve,,,,,,Ministerio Del Poder Popular Para La Cultura,1010,VE,"ns1.agnve.gob.ve, ns2.agnve.gob.ve"
aguasdeyaracuy.gob.ve,,,,,,Aguas De Yaracuy C A,3201,VE,"dorthy.ns.cloudflare.com, rajeev.ns.cloudflare.com"
alcaldiabaruta.gob.ve,,,,,,,1080,VE,"dns.site5.com, dns2.site5.com"
alcaldiacaroni.gob.ve,,,,,,,San Felix,VE,"dns2.cant.net, dns1.cantv.net, ns1.alcaldiacaroni.gob.ve"
alcaldiadeatures.gob.ve,,,,,,NO APLICA,7101,VE,"da2.dns40.com, da1.dns40.com"
alcaldiadeguacara.gob.ve,,,,,,,Guacara,VE,"pdns2.registrar-servers.com, pdns1.registrar-servers.com"
alcaldiadeguaicaipuro.gob.ve,,,,,,Alcaldia Del Municipio Guaicaipuro,1201,VE,"peter.ns.cloudflare.com, jen.ns.cloudflare.com"
alcaldiadeguarenas.gob.ve,,,,,,Alcaldia Del Municipio Plaza,1220,VE,"ns1.centos-webpanel.com, ns2.centos-webpanel.com, ns3.centos-webpanel.com, ns4.centos-webpanel.com"
alcaldiadeheres.gob.ve,,,,,,,Bolivar,VE,"dns1.alcaldiadeheres.gob.ve, dns2.alcaldiadeheres.gob.ve"
alcaldiadeindependencia.gob.ve,,,,,,NO APLICA,San Felipe,VE,"kira.ns.cloudflare.com, ethan.ns.cloudflare.com"
alcaldiademara.gob.ve,,,,,,,Maracaibo,VE,"ns18.tepuyserver.net, ns17.tepuyserver.net"
alcaldiademiranda.gob.ve,,,,,,NO APLICA,2041,VE,"iris.ns.cloudflare.com, ethan.ns.cloudflare.com"
alcaldiadenaguanagua.gob.ve,,,,,,Fisco Municipal De Naguanagua,2005,VE,"yolanda.ns.cloudflare.com, lochlan.ns.cloudflare.com"
alcaldiadenirgua.gob.ve,,,,,,,Nirgua,VE,"ns1.8ssi.com, ns2.8ssi.com"
alcaldiadepalavecino.gob.ve,,,,,,David Enrique,3023,VE,"pola.ns.cloudflare.com, ezra.ns.cloudflare.com"
alcaldiaderibas.gob.ve,,,,,,Alcaldia Del Municipio Jose Felix Ribas,2121,VE,"ns2.enchantservices.com, ns1.enchantservices.com"
alcaldiadesandiego.gob.ve,,,,,,,Valencia,VE,"dns1.alcaldiadesandiego.gob.ve, 201.248.64.44, dns2.alcaldiadesandiego.gob.ve"
alcaldiadesanfelipe.gob.ve,,,,,,NO APLICA,3201,VE,"ns29.tepuyserver.net, ns30.tepuyserver.net"
alcaldiadevalencia.gob.ve,,,,,,,Valencia,VE,"dns1.alcaldiadevalencia.gob.ve, dns2.alcaldiadevalencia.gob.ve"
alcaldiaelhatillo.gob.ve,,,,,,Alcaldia Del Municp El Hatllo,1083,VE,"ram.ns.cloudflare.com, celine.ns.cloudflare.com"
alcaldiagirardot.gob.ve,,,,,,,Maracay,VE,"ns0.alcaldiagirardot.gob.ve, ns1.alcaldiagirardot.gob.ve, ns2.alcaldiagirardot.gob.ve"
alcaldiaguanare.gob.ve,,,,,,,Guanare,VE,"ns2.corpohosting.com, ns1.corpohosting.com"
alcaldialibertador-carabobo.gob.ve,,,,,,,Valencia,VE,"ns23.tepuyserver.net, ns24.tepuyserver.net"
alcaldialossalias.gob.ve,,,,,,Jose Luis,1204,VE,"ns2.alcaldialossalias.gob.ve, ns1.alcaldialossalias.gob.ve"
alcaldiamunicipiosucre.gob.ve,,,,,,,Caracas,VE,"ns1.daycohost.net, ns2.daycohost.net"
alcaldiapaez.gob.ve,,,,,,Miguel Oswaldo,3301,VE,"ns2.dattaapure.com, ns1.dattaapure.com"
alcaldiasancristobal.gob.ve,,,,,,Alcaldia Del Municipio San Cristobal,5001,VE,"ns2.uanesi.net, ns1.uanesi.net"
alcaldiasanfrancisco.gob.ve,,,,,,Larry Juvenal,4004,VE,"ruth.ns.cloudflare.com, ajay.ns.cloudflare.com"
alcaldiasantarosalia.gob.ve,,,,,,,El Playon,VE,"ns3.netquatro.net, ns4.netquatro.net"
alcaldiasimonbolivar.gob.ve,,,,,,,Barcelona,VE,"ns1.cdmon.net, ns2.cdmon.net, ns3.cdmon.net, ns4.cdmondns-01.org, ns5.cdmondns-01.com"
almccs.gob.ve,,,,,,,Caracas,VE,"ns1.dattaapure.com, ns2.dattaapure.com"
amazonas.gob.ve,,,,,,,Pto. Ayacucho,VE,"ns4.tepuyserver.net, ns3.tepuyserver.net"
an.gob.ve,,,,,,,Caracas,VE,"ns1.asambleanacional.gob.ve, ns2.asambleanacional.gob.ve, ns3.asambleanacional.gob.ve, ns4.asambleanacional.gob.ve"
antimonopolio.gob.ve,,,,,,Superintendencia Antimonopolio,1015,VE,"dns2.cantv.net, dns1.cantv.net"
anzoategui.gob.ve,,,,,,,Barcelona,VE,"ns5.globalhost.com.ve, ns6.globalhost.com.ve"
